alpha,G,S,N,file,rl_shifters,rl_time_s
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01201.txt,24,0.159807
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01202.txt,28,0.182773
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01203.txt,25,0.171031
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01204.txt,35,0.224595
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01205.txt,35,0.220405
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01206.txt,33,0.198948
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01207.txt,28,0.184928
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01208.txt,25,0.159423
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01209.txt,31,0.180796
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01210.txt,32,0.189139
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01211.txt,49,0.272768
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01212.txt,39,0.216611
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01213.txt,31,0.182804
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01214.txt,24,0.144193
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01215.txt,42,0.232474
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01216.txt,26,0.162161
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01217.txt,36,0.203847
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01218.txt,25,0.162571
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01219.txt,34,0.208543
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01220.txt,38,0.213347
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01221.txt,23,0.135372
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01222.txt,33,0.201121
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01223.txt,28,0.166847
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01224.txt,23,0.136073
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01225.txt,16,0.105848
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01226.txt,36,0.205633
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01227.txt,28,0.173738
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01228.txt,35,0.238262
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01229.txt,28,0.199345
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01230.txt,24,0.161591
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01231.txt,36,0.250894
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01232.txt,41,0.269549
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01233.txt,37,0.25259
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01234.txt,31,0.211213
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01235.txt,34,0.215314
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01236.txt,30,0.18801
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01237.txt,36,0.241263
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01238.txt,42,0.281188
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01239.txt,30,0.212439
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01240.txt,25,0.191501
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01241.txt,15,0.125503
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01242.txt,31,0.202254
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01243.txt,47,0.300577
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01244.txt,38,0.242662
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01245.txt,38,0.257624
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01246.txt,37,0.238492
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01247.txt,24,0.180513
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01248.txt,36,0.238119
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01249.txt,30,0.218872
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01250.txt,41,0.279176
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01251.txt,36,0.254336
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01252.txt,33,0.2264
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01253.txt,34,0.219886
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01254.txt,30,0.207901
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01255.txt,23,0.163484
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01256.txt,28,0.194568
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01257.txt,33,0.215031
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01258.txt,40,0.270458
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01259.txt,25,0.184257
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01260.txt,27,0.189144
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01261.txt,37,0.243652
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01262.txt,34,0.229576
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01263.txt,33,0.215355
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01264.txt,22,0.162051
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01265.txt,34,0.23379
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01266.txt,39,0.258398
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01267.txt,24,0.170729
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01268.txt,22,0.156785
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01269.txt,37,0.242837
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01270.txt,30,0.193253
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01271.txt,38,0.251957
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01272.txt,41,0.270173
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01273.txt,32,0.212496
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01274.txt,35,0.22028
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01275.txt,24,0.162519
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01276.txt,29,0.206673
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01277.txt,24,0.174532
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01278.txt,34,0.227447
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01279.txt,28,0.18783
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01280.txt,31,0.19462
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01281.txt,40,0.23234
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01282.txt,37,0.215632
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01283.txt,24,0.144389
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01284.txt,39,0.223531
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01285.txt,29,0.175446
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01286.txt,18,0.123188
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01287.txt,27,0.166783
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01288.txt,23,0.147464
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01289.txt,32,0.182974
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01290.txt,25,0.156422
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01291.txt,24,0.139875
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01292.txt,50,0.281153
0.8,6,6,30,benchmark/dup_dataset/alpha=0.8/6-6-30/01293.txt,31,0.18664
